"country_name","global_average_rating","total_wines_count"
Allemagne,4.5,14
États-Unis,4.4905405405405405,74
Moldavie,4.4799999999999995,5
Hongrie,4.472727272727273,11
Afrique du Sud,4.45909090909091,22
Australie,4.458333333333333,12
France,4.447129909365559,331
Espagne,4.443617021276595,94
Portugal,4.435714285714286,28
Chili,4.43125,16
